kata
abadi
absen
agung
akhir
akrab
aktif
alami
bebas
benar
besar
bumbu
cinta
dunia
indah
kamus
nanas
puasa
sabar
sehat
utama
waktu
warna
zaman
makan
minum
tidur
gajah
rumah
pohon
mobil
motor
jalan
bapak
kakak
nenek
kakek
paman
bibi_
suami
isteri
warga
orang
tubuh
darah
wajah
mulut
lidah
leher
perut
betis
tumit
kulit
tulang
sendi
saraf
abjad
aktor
akses
alarm
album
alibi
altar
amuba
angka
andong
anjing
antre
apung
arena
arloji
aroma
arsip
artis
asbes
aspal
atlet
audio
audit
autis
babad
babak
babar
babat
badai
badak
badan
badar
badut
bagai
bagan
bagas
bagus
bahan
bahar
bahas
bahwa
bajak
bajan
bajik
bajul
bakal
bakar
bakat
bakau
bakso
balad
balai
balak
balap
balas
balau
balet
balig
balik
balok
balon
balut
bambu
binal
binar
biola
biota
biram
bursa
buruh
burun
burut
buset
busur
busut
butik
butir
butuh
butut
buyar
buyung
buyut
cabai
cabak
cabik
cabul
cabut
cacar
cacat
cadas
cadel
cadik
cagar
cagak
cahar
cakap
cakar
cakep
cakra
calon
camar
camat
canda
candi
candu
capai
capak
capek
capil
capit
carik
caruk
carut
catat
catok
catur
cawan
cawat
cebak
cebik
cebol
cebong
cebur
cecak
cecar
cecer
cecok
cedera
cegah
cegat
cekah
cekak
cekal
cekam
cekat
cekau
cekek
ceker
cekik
cekok
celah
celak
celep
celik
celup
celur
celus
cemar
cemas
cemat
cemeeh
cemeti
cemil
cempa
cenang
cenda
cerah
cerak
ceram
cerat
cerdas
cerdik
cerek
ceret
ceria
cerita
cerna
ceruk
cerut
cetak
cetar
cetas
cetek
ceter
cetus
ciamik
cibir
cibuk
cicak
cicip
cicit
ciduk
cikar
cilik
cilok
cinta
citra
cumbu
darma
derma
drama
dosis
eboni
elips
embun
emisi
eropa
etika
etnik
fakta
famili
fauna
fobia
flora
fokus
forum
fosil
gabus
gadis
garam
garis
gitar
gosip
grafik
griya
gurun
habis
hakim
halal
hantu
harta
hasil
hebat
hewan
hijau
idola
iklim
iklan
imaji
infan
infra
intan
intel
irama
islam
jaksa
janji
janin
janda
jenuh
jeruk
juara
jumat
jurnal
kabel
kacam
kadar
kadir
kafir
kaget
kalah
kaldu
kalon
kamil
kapas
kapak
kapal
karat
karya
kaser
kasta
katak
kawin
kecap
kecil
kelam
kelor
keluh
kemah
kenal
kerak
keran
keras
keren
keris
kerja
kesan
ketat
ketua
kikir
kilat
kimia
kipas
kirim
kisah
kitab
klaim
klasi
koala
kobra
kodok
kokoh
kolam
kolon
komik
komet
konda
koran
korps
korsi
kotak
kotor
krama
krida
kriya
kroco
kroni
kubis
kubur
kujang
kumal
kuman
kumat
kunci
kurap
kurma
kursi
kurva
kurus
kutub
labil
labor
lacak
lacur
ladam
ladang
lafal
lahap
lahar
lahir
laici
layak
layang
layar
lazim
lebah
lebam
lebar
lebat
lebur
lecet
lecit
legal
legam
legenda
lelah
lelaki
lelang
leleh
lemah
lemak
lemar
